travel_mode,TrvlTime_number,Age,indiv_trvl_frequency,HHVeh,HHsize
1,1700.0,55,64,4,5
1,514.0,41,19,1,5
0,300.0,39,26,2,5
1,476.0,61,24,3,2
1,696.94,59,44,2,2
1,282.347,67,6,1,2
0,335.0,19,8,1,2
1,850.0,54,42,3,3
1,150.0,50,12,2,2
1,1140.0,28,51,3,5
1,2400.0,41,11,1,4
1,1263.676,41,72,2,6
1,408.0,41,20,2,6
1,1650.0,51,18,2,2
1,258.0,20,45,3,7
1,150.0,37,12,1,8
1,72.0,53,24,4,3
1,793.0,60,28,2,2
1,1200.0,47,6,1,5
1,346.0,34,21,3,6
1,1759.0,27,14,2,2
1,3415.0,41,19,1,5
1,420.0,31,11,1,8
1,2363.0,46,28,2,5
0,680.0,68,34,2,2
1,480.0,35,8,2,2
0,600.0,36,20,2,6
1,599.0,52,75,5,5
1,265.611,31,16,2,2
1,1039.0,47,6,1,3
1,646.0,40,44,2,5
1,420.0,53,9,1,4
0,675.0,32,22,1,6
1,420.0,44,44,2,7
0,240.0,62,13,1,4
1,3958.0,25,48,4,4
1,1654.0,32,15,1,1
1,540.0,38,6,1,6
0,360.0,81,16,0,2
1,660.0,26,24,4,5
1,1009.0,41,44,2,4
1,336.0,41,23,1,6
1,300.0,22,36,3,5
1,1010.0,34,32,2,4
1,980.0,62,42,3,3
0,64.99998,22,51,3,4
1,2703.0,38,30,2,5
1,339.729,48,20,2,5
1,2922.915,43,32,1,4
0,1100.0,35,3,0,10
1,1614.0,52,14,2,2
0,300.0,48,17,1,4
0,480.0,25,6,1,2
1,291.0,35,9,3,3
1,302.0,48,12,2,4
1,350.0,28,12,2,5
1,240.0,40,27,3,5
1,3059.0,51,51,3,8
1,2935.0,22,24,3,4
1,600.0,65,11,1,2
0,250.731,16,39,1,6
1,27.0,32,76,2,2
1,492.838,31,36,2,4
1,540.0,62,18,3,3
1,720.0,47,18,2,4
1,900.0,42,12,2,2
0,750.0,73,8,0,2
1,1123.771,41,22,2,5
1,2650.0,71,17,1,1
1,1766.663,39,27,3,5
1,264.0,80,7,1,2
1,718.492,44,28,1,2
1,3101.768,27,72,2,3
1,1216.0,48,13,1,4
1,1061.0,38,26,2,4
1,268.0,47,36,2,5
1,420.0,66,16,2,2
0,574.0,31,13,1,2
1,2136.0,74,48,3,3
1,1175.392,48,48,2,1
1,2042.0,43,16,1,1
1,763.626,46,39,3,5
1,1301.0,21,63,3,3
1,432.855,45,12,1,5
1,420.0,43,39,3,4
